District,Mandal,Total_Demand_Tons,Cattle_Demand,Buffaloes_Demand,Sheep_Demand,Goat_Demand,Pig_Demand,Poultry_Demand
DR B.R. AMBEDKAR KONASEEMA,Amalapuram,26202.8,9466.6,15483.0,453.59999999999997,512.4,287.2,0.0
DR B.R. AMBEDKAR KONASEEMA,Ambajipeta,22718.5,5236.0,16507.4,397.8,159.29999999999998,418.0,0.0
DR B.R. AMBEDKAR KONASEEMA,Atreyapuram,26215.7,3828.0000000000005,21460.4,373.5,295.8,258.0,0.0
DR B.R. AMBEDKAR KONASEEMA,I.Polavaram,31888.000000000004,9627.2,21195.2,330.9,606.3,128.4,0.0
DR B.R. AMBEDKAR KONASEEMA,K.GANGAVARAM (PAMARRU),48344.00000000001,9435.800000000001,38006.8,483.9,217.5,200.0,0.0
DR B.R. AMBEDKAR KONASEEMA,Kapileswarapuram,41769.0,4749.8,35991.8,650.6999999999999,127.5,249.20000000000002,0.0
DR B.R. AMBEDKAR KONASEEMA,Katrenikona,40675.0,10876.800000000001,27515.8,738.6,1247.3999999999999,296.40000000000003,0.0
DR B.R. AMBEDKAR KONASEEMA,Kothapeta,25613.300000000003,4600.200000000001,20256.600000000002,297.0,259.5,200.0,0.0
DR B.R. AMBEDKAR KONASEEMA,Malkipuram,21341.100000000002,4237.200000000001,15860.0,188.7,979.1999999999999,76.0,0.0
DR B.R. AMBEDKAR KONASEEMA,Mamidikuduru,22409.8,5423.0,15886.0,279.3,362.7,458.8,0.0
DR B.R. AMBEDKAR KONASEEMA,Mandapeta,35520.6,3817.0000000000005,30776.2,430.2,189.6,307.6,0.0
DR B.R. AMBEDKAR KONASEEMA,Mummidivaram,30918.6,10705.2,18431.4,777.3,623.1,381.6,0.0
DR B.R. AMBEDKAR KONASEEMA,P.Gannavaram,27901.600000000002,6509.8,19944.600000000002,675.3,349.5,422.40000000000003,0.0
DR B.R. AMBEDKAR KONASEEMA,Ramachandrapuram,32370.100000000002,5394.400000000001,23670.4,3004.2,108.3,192.8,0.0
DR B.R. AMBEDKAR KONASEEMA,Ravulapalem,20308.200000000004,2976.6000000000004,16712.8,156.9,213.9,248.0,0.0
DR B.R. AMBEDKAR KONASEEMA,Rayavaram,21921.000000000007,2457.4,19255.600000000002,8.7,18.9,180.4,0.0
DR B.R. AMBEDKAR KONASEEMA,Razole,21535.100000000006,6311.8,14255.800000000001,433.2,363.9,170.4,0.0
DR B.R. AMBEDKAR KONASEEMA,Sakhinetipalli,27851.000000000004,4037.0000000000005,22297.600000000002,459.59999999999997,974.4,82.4,0.0
DR B.R. AMBEDKAR KONASEEMA,Uppalaguptam,26914.200000000004,8258.800000000001,17797.0,127.5,286.5,444.40000000000003,0.0
EASTGODAVARI,Anaparthi,30746.9,2739.0,26712.4,943.1999999999999,144.29999999999998,208.0,0.0
EASTGODAVARI,Biccavolu,32377.1,2994.2000000000003,27970.8,1098.0,208.5,105.60000000000001,0.0
EASTGODAVARI,Chagallu,40233.700000000004,7286.400000000001,31691.4,542.6999999999999,652.8,60.400000000000006,0.0
EASTGODAVARI,Devarapalli,55550.7,16018.2,34041.8,2469.9,2607.6,413.20000000000005,0.0
EASTGODAVARI,Gokavaram,34176.6,8459.0,20196.8,3864.6,1602.6,53.6,0.0
EASTGODAVARI,Gopalapuram,60201.9,19056.4,32611.800000000003,5579.099999999999,2823.0,131.6,0.0
EASTGODAVARI,Kadiam,18824.700000000004,3095.4,15249.0,215.7,172.2,92.4,0.0
EASTGODAVARI,Korukonda,43768.700000000004,9466.6,29452.8,2703.2999999999997,1610.3999999999999,535.6,0.0
EASTGODAVARI,Kovvur,35759.299999999996,4985.200000000001,29640.0,472.79999999999995,539.6999999999999,121.60000000000001,0.0
EASTGODAVARI,Nallajerla,129952.90000000001,49863.00000000001,75259.6,3414.0,1416.3,0.0,0.0
EASTGODAVARI,Nidadavolu,62557.899999999994,7244.6,53557.4,767.6999999999999,838.1999999999999,150.0,0.0
EASTGODAVARI,Peravali,22952.9,3599.2000000000003,18902.0,105.3,133.2,213.20000000000002,0.0
EASTGODAVARI,Rajamahendravaram Rural,25918.200000000004,4424.200000000001,16837.600000000002,3773.3999999999996,705.0,178.0,0.0
EASTGODAVARI,Rajamahendravaram Urban,4135.9,820.6,3237.0,2.6999999999999997,75.6,0.0,0.0
EASTGODAVARI,Rajanagaram,81444.79999999999,18004.800000000003,51768.6,9482.4,1960.1999999999998,228.8,0.0
EASTGODAVARI,Rangampeta,57675.100000000006,23430.000000000004,32107.4,1103.7,940.8,93.2,0.0
